,loss
0,0.06851431180657679
1,0.03168039857839046
2,0.026614346738745864
3,0.006156370976998725
4,0.0038866056987639144
5,0.003509251959685959
6,0.0034084791731360934
7,0.0033495344962678757
8,0.0032008838195461352
9,0.003088145714094337
10,0.0030179072979791537
11,0.0027945156574590026
12,0.002627348777116821
13,0.00246255502150877
14,0.002285063033282982
15,0.0022074365330234866
16,0.002033602412369876
17,0.001926508106027398
18,0.0018436703308929972
19,0.0016689993908047226
20,0.0015449104801799072
21,0.0014527940641777357
22,0.0013908721862727215
23,0.001244337016625645
24,0.0011615544679911584
25,0.0011068735512049083
26,0.001029540414754122
27,0.000997164367539283
28,0.0009548030575888521
29,0.0008947305772658515
30,0.0009266778221738203
31,0.0008280548929048516
32,0.0008255945816616869
33,0.0007865601697628562
34,0.0007924222289853597
35,0.0007856796604345464
36,0.0007448117808372223
37,0.0007259625168241806
38,0.0007049966289020019
39,0.0006913100427722474
40,0.0006670808301728726
41,0.0006295896051682153
42,0.0006395761194085494
43,0.000646703342117364
44,0.0005581926447874194
45,0.0005711221436878981
46,0.0005661156603379849
47,0.000511053195777266
48,0.0005213889657110463
49,0.0004990256691391246
50,0.00048687378931957126
51,0.0005066338005399477
52,0.0004650211578044154
53,0.0004741331846472465
54,0.0004412998439167002
55,0.00041709302345219044
56,0.00040732874157755255
57,0.00042984700729949415
58,0.0004239280824949824
59,0.0004262447817874957
60,0.00036587018949271754
61,0.00037463233404904294
62,0.0003776726694607869
63,0.00032930505457827425
64,0.0003221490005421307
65,0.0003178261434710604
66,0.00029811936844091613
67,0.000299187604881736
68,0.00030482500731340384
69,0.00027219934311011317
70,0.0002746694261344929
71,0.00027281967148010556
72,0.00027776862240199156
73,0.0002593410573595497
74,0.00025016422323197857
75,0.00024477412863801063
76,0.00023876856094959002
77,0.00022955716200005725
78,0.00022855213043190912
79,0.00022028417157891886
80,0.000206576502065916
81,0.00020148418519480674
82,0.00019708770614144927
83,0.0001876707900728021
84,0.00019375350384907657
85,0.0001929503276817977
86,0.00017307049489052943
87,0.00017541335666509912
88,0.0001645944934705672
89,0.00016461614477883722
90,0.00016241863271781337
91,0.0001707214328191055
92,0.00015131088506229904
93,0.0001505269901626814
94,0.00016135621711314225
95,0.0001510650740301959
96,0.0001556626849920211
97,0.00014786075494726774
98,0.00014329800307835572
99,0.0001410213181299178
100,0.00013589471277311327
101,0.00013478155749237634
102,0.00012696500979857123
103,0.00013273341647759875
104,0.00012826886242386877
105,0.00012459574874805636
106,0.0001278864082872632
107,0.0001238884400178267
108,0.0001245981414672346
109,0.00012097563454865297
110,0.00012636133531491854
111,0.0001211936068661867
112,0.00011518575225521502
113,0.00011264380818041377
114,0.00011271867038820777
115,0.00010580276664911079
116,0.00011289581220338897
117,0.0001078868146798496
118,0.00010765108674887294
119,9.561022450142455e-05
120,0.00010970408556125532
121,0.00010377430369689333
122,0.00010602939573487785
123,0.0001098035992438805
124,9.78437302643888e-05
125,0.00010024128813457328
126,9.137040416151541e-05
127,9.257093759320395e-05
128,9.896944532918063e-05
129,9.771418786400153e-05
130,8.906732746329481e-05
131,9.925409462237269e-05
132,9.478119083180924e-05
133,9.170175373828535e-05
134,9.073294793709439e-05
135,8.478472746504814e-05
136,8.575055339129288e-05
137,8.90238681584571e-05
138,0.00010954868560849062
139,8.409977338899393e-05
140,8.761768907741253e-05
141,8.440086840307808e-05
142,9.457293636132893e-05
143,8.313381531454516e-05
144,8.49371973686644e-05
145,8.111748095331816e-05
146,8.649580535975937e-05
147,8.543754623845115e-05
148,9.38809645090616e-05
149,7.454829194710784e-05
150,7.151026387463235e-05
151,7.921871769027734e-05
152,7.809754890801918e-05
153,7.453623854768484e-05
154,9.284058010371842e-05
155,9.175781376569877e-05
156,8.464393585371405e-05
157,7.806691684623402e-05
158,7.748319772719867e-05
159,7.440315253575918e-05
160,7.900662577766772e-05
161,7.628758124154614e-05
162,6.421099658929768e-05
163,6.697193649469361e-05
164,6.745283254635222e-05
165,7.804878163697491e-05
166,6.659471913600505e-05
167,7.263021925334566e-05
168,7.048336645754655e-05
169,7.513122489742174e-05
170,9.410354421916643e-05
171,7.77619314816988e-05
172,7.338401719932912e-05
173,6.933211101508255e-05
174,6.646736350115946e-05
175,6.229908068176293e-05
176,6.388253231503727e-05
177,6.180365881124387e-05
178,7.096463229699045e-05
179,7.832814243990746e-05
180,6.327447999677745e-05
181,6.49946121051536e-05
182,6.456433385476871e-05
183,8.771563167361917e-05
184,6.804814416241987e-05
185,6.774193394496496e-05
186,5.881669246853442e-05
187,6.927794453311978e-05
188,6.61545779948037e-05
189,6.170431853560577e-05
190,6.729395323966379e-05
191,6.187133869309007e-05
192,6.866528962622236e-05
193,5.91544426461692e-05
194,6.775249410671261e-05
195,5.399485344191798e-05
196,5.6357668524420984e-05
197,7.762029488848656e-05
198,5.6632971114455305e-05
199,6.373891650122287e-05
200,6.265073869224609e-05
201,6.727313775076958e-05
202,6.564556023685974e-05
203,6.0259034094769644e-05
204,5.576595506955744e-05
205,5.440093410411783e-05
206,5.675507022521556e-05
207,6.034610969799268e-05
208,5.788969027648387e-05
209,5.3159526324175375e-05
210,5.5533209360448674e-05
211,5.7617236053716186e-05
212,5.330286309450668e-05
213,6.434163665346112e-05
214,5.5093019757066096e-05
215,5.119029206390002e-05
216,5.8253773190580727e-05
217,5.549220844856342e-05
218,5.1988335148168106e-05
219,5.2322646635174597e-05
220,5.238493128435973e-05
221,5.528803100638755e-05
222,5.517409665099642e-05
223,4.725882125313187e-05
224,5.546750221889853e-05
225,5.1562829540662614e-05
226,5.090233391138662e-05
227,5.334512093557593e-05
228,5.216001593181159e-05
229,5.185765517632793e-05
230,8.366238612268809e-05
231,5.844778298240051e-05
232,5.0576876033788633e-05
233,5.175477488709747e-05
234,5.338153020778871e-05
235,6.617134277194168e-05
236,5.686367285994978e-05
237,5.713577585512941e-05
238,5.8366733783647224e-05
239,5.5095593967350734e-05
240,5.378501809200053e-05
